# BCMC Cell edge cases (wrap boundaries, extremal weights)
#
# Generated by validation/gen_vectors.py from validation/reference.py
# Seed: 20260731.  Do not edit by hand.
#
# One evaluation of the BCMC characteristic function per line:
#
#     bit = 1  iff  ((column - offset) mod N) < weight
#
#      N  weight  offset  column  bit
      1       0       0       0    0
      1       1       0       0    1
      2       0       0       0    0
      2       0       0       1    0
      2       1       0       0    1
      2       1       0       1    0
      2       2       0       0    1
      2       2       0       1    1
      2       0       1       1    0
      2       0       1       0    0
      2       1       1       1    1
      2       1       1       0    0
      2       2       1       1    1
      2       2       1       0    1
      3       0       0       0    0
      3       0       0       1    0
      3       0       0       2    0
      3       1       0       0    1
      3       1       0       1    0
      3       1       0       2    0
      3       2       0       0    1
      3       2       0       1    1
      3       2       0       2    0
      3       3       0       0    1
      3       3       0       1    1
      3       3       0       2    1
      3       0       1       1    0
      3       0       1       2    0
      3       0       1       0    0
      3       1       1       1    1
      3       1       1       2    0
      3       1       1       0    0
      3       2       1       1    1
      3       2       1       2    1
      3       2       1       0    0
      3       3       1       1    1
      3       3       1       2    1
      3       3       1       0    1
      3       0       2       2    0
      3       0       2       0    0
      3       0       2       1    0
      3       1       2       2    1
      3       1       2       0    0
      3       1       2       1    0
      3       2       2       2    1
      3       2       2       0    1
      3       2       2       1    0
      3       3       2       2    1
      3       3       2       0    1
      3       3       2       1    1
      8       0       0       0    0
      8       0       0       1    0
      8       0       0       7    0
      8       1       0       0    1
      8       1       0       1    0
      8       1       0       7    0
      8       7       0       0    1
      8       7       0       1    1
      8       7       0       7    0
      8       8       0       0    1
      8       8       0       1    1
      8       8       0       7    1
      8       0       1       1    0
      8       0       1       2    0
      8       0       1       0    0
      8       0       1       7    0
      8       1       1       1    1
      8       1       1       2    0
      8       1       1       0    0
      8       1       1       7    0
      8       7       1       1    1
      8       7       1       2    1
      8       7       1       0    0
      8       7       1       7    1
      8       8       1       1    1
      8       8       1       2    1
      8       8       1       0    1
      8       8       1       7    1
      8       0       3       3    0
      8       0       3       4    0
      8       0       3       2    0
      8       0       3       0    0
      8       0       3       7    0
      8       1       3       3    1
      8       1       3       4    0
      8       1       3       2    0
      8       1       3       0    0
      8       1       3       7    0
      8       7       3       3    1
      8       7       3       4    1
      8       7       3       2    0
      8       7       3       0    1
      8       7       3       7    1
      8       8       3       3    1
      8       8       3       4    1
      8       8       3       2    1
      8       8       3       0    1
      8       8       3       7    1
      8       0       7       7    0
      8       0       7       0    0
      8       0       7       6    0
      8       1       7       7    1
      8       1       7       0    0
      8       1       7       6    0
      8       7       7       7    1
      8       7       7       0    1
      8       7       7       6    0
      8       8       7       7    1
      8       8       7       0    1
      8       8       7       6    1
     16       0       0       0    0
     16       0       0       1    0
     16       0       0      15    0
     16       1       0       0    1
     16       1       0       1    0
     16       1       0      15    0
     16      15       0       0    1
     16      15       0       1    1
     16      15       0      15    0
     16      16       0       0    1
     16      16       0       1    1
     16      16       0      15    1
