# BCMC Cell random cases (N up to 65,535)
#
# Generated by validation/gen_vectors.py from validation/reference.py
# Seed: 20260731.  Do not edit by hand.
#
# One evaluation of the BCMC characteristic function per line:
#
#     bit = 1  iff  ((column - offset) mod N) < weight
#
#      N  weight  offset  column  bit
  45633       0   27623    9538    0
  65356   46767   50985   30594    1
   2863       0    1585     424    0
  38489   36425   14125    4334    1
  10260   10259    2778   10177    1
  24179       0    5919    9606    0
  43737   43737   15737   12066    1
  37289       0   26116   37163    0
  54859       0   19494   17278    0
  62589   62588   47056   26579    1
  40361    6919   27790   24628    0
  15777    4378   12081    8138    0
   8123    8123    5433    1299    1
  58457     685   56146   39115    0
  30215   29612     917   14206    1
  51676       0   41253   26237    0
   2742    2741     202    1099    1
  13843   13843    2663    1014    1
  54774   23413   45922   10451    1
  63120   63120   10800   50966    1
  37090   19065   29907   35412    1
  16484   10999    2541    2221    0
  53064    9051   49377   48219    0
  37581   37581    2324   23177    1
  40400   13189    6825   39403    0
  32938   32938   21624   16722    1
    909     493       1      95    1
  61287   23455   33045   59204    0
  46829   39689   39525   34511    0
  43798   23485   24709    4934    0
  44554    4339   24850    2500    0
   1112    1112     451      34    1
    354      20     142      94    0
  32998   32998    6878    6743    1
  29470   29470   22925   22121    1
  18246    2822   11653   12760    1
  38431       0   31636   36632    0
  34300   34299   26594    5930    1
  46507   46507   13227   45477    1
  36649       0   28526   23644    0
  12206    4238    4888    8442    1
  34991   34991   34745   27505    1
  12879       0    1613    4825    0
  14157   14157    7330    8263    1
  49054   21672   28801   13468    0
  21643    6660   16901     830    1
   9757       0    3045    2408    0
  44933   14743   17067   37266    0
  59906   59905    2919   29187    1
  24541   23276    3256   10110    1
   8375    3976    1055    8024    0
  46725   46724    7402   28846    1
  23980   12210   22297    2173    1
  24547    6155   16623   23384    0
  29184       0   20410   20723    0
  62358   59667   43814   35828    1
  51604       0   46146   34396    0
  61978   61977   57717   52540    1
  47119   15760   23360   38186    1
  14102   14102    1369    8234    1
   5536    2421    2998     904    0
  39127   12913    8061    4384    0
   5172    4346    1833    3148    1
  20707   20706   11331    2940    1
  61227       0    5818   51296    0
   1096     378     202     383    1
  43575   11536   13001   41459    0
  51755   51755   27321   18426    1
  28005   25090   11690     842    1
   8893       0    8257     107    0
  14768       0    8811     937    0
  58008   25811     733   30901    0
  57315    2035   34224    7508    0
  64787   24538   24663   36501    1
  58616   46799   30778   37960    1
