# Observer hardware vectors -- generated by gen_observer_hw_vectors.py
# from validation/observer_hw.py. Do not edit by hand.
#
# H <N> <oneshot> <cycles>
# C <rst> <start> <trigger> <valid> <state> <running> <column> <scheduled> <visit_valid> <done> <aborted>
# n1_sparse
H 1 0 5
C 0 1 0 1 0 0 0 0 0 0 0
C 0 0 0 1 1 1 0 1 1 1 0
C 0 0 1 1 1 1 0 0 0 0 0
C 0 0 0 1 1 1 0 1 1 1 0
C 0 0 0 1 1 1 0 0 0 0 0
---
# n2_sparse
H 2 0 8
C 0 1 0 1 0 0 0 0 0 0 0
C 0 0 0 1 1 1 0 1 1 0 0
C 0 0 1 1 1 1 0 0 0 0 0
C 0 0 0 1 1 1 1 1 1 1 0
C 0 0 0 1 1 1 1 0 0 0 0
C 0 0 1 1 1 1 1 0 0 0 0
C 0 0 0 1 1 1 0 1 1 0 0
C 0 0 0 1 1 1 0 0 0 0 0
---
# n3_sparse
H 3 0 11
C 0 1 0 1 0 0 0 0 0 0 0
C 0 0 0 1 1 1 0 1 1 0 0
C 0 0 1 1 1 1 0 0 0 0 0
C 0 0 0 1 1 1 1 1 1 0 0
C 0 0 0 1 1 1 1 0 0 0 0
C 0 0 1 1 1 1 1 0 0 0 0
C 0 0 0 1 1 1 2 1 1 1 0
C 0 0 0 1 1 1 2 0 0 0 0
C 0 0 1 1 1 1 2 0 0 0 0
C 0 0 0 1 1 1 0 1 1 0 0
C 0 0 0 1 1 1 0 0 0 0 0
---
# n4_sparse
H 4 0 14
C 0 1 0 1 0 0 0 0 0 0 0
C 0 0 0 1 1 1 0 1 1 0 0
C 0 0 1 1 1 1 0 0 0 0 0
C 0 0 0 1 1 1 1 1 1 0 0
C 0 0 0 1 1 1 1 0 0 0 0
C 0 0 1 1 1 1 1 0 0 0 0
C 0 0 0 1 1 1 2 1 1 0 0
C 0 0 0 1 1 1 2 0 0 0 0
C 0 0 1 1 1 1 2 0 0 0 0
C 0 0 0 1 1 1 3 1 1 1 0
C 0 0 0 1 1 1 3 0 0 0 0
C 0 0 1 1 1 1 3 0 0 0 0
C 0 0 0 1 1 1 0 1 1 0 0
C 0 0 0 1 1 1 0 0 0 0 0
---
# n5_sparse
H 5 0 17
C 0 1 0 1 0 0 0 0 0 0 0
C 0 0 0 1 1 1 0 1 1 0 0
C 0 0 1 1 1 1 0 0 0 0 0
C 0 0 0 1 1 1 1 1 1 0 0
C 0 0 0 1 1 1 1 0 0 0 0
C 0 0 1 1 1 1 1 0 0 0 0
C 0 0 0 1 1 1 2 1 1 0 0
C 0 0 0 1 1 1 2 0 0 0 0
C 0 0 1 1 1 1 2 0 0 0 0
C 0 0 0 1 1 1 3 1 1 0 0
C 0 0 0 1 1 1 3 0 0 0 0
C 0 0 1 1 1 1 3 0 0 0 0
C 0 0 0 1 1 1 4 1 1 1 0
C 0 0 0 1 1 1 4 0 0 0 0
C 0 0 1 1 1 1 4 0 0 0 0
C 0 0 0 1 1 1 0 1 1 0 0
C 0 0 0 1 1 1 0 0 0 0 0
---
# n8_sparse
H 8 0 26
C 0 1 0 1 0 0 0 0 0 0 0
C 0 0 0 1 1 1 0 1 1 0 0
C 0 0 1 1 1 1 0 0 0 0 0
C 0 0 0 1 1 1 1 1 1 0 0
C 0 0 0 1 1 1 1 0 0 0 0
C 0 0 1 1 1 1 1 0 0 0 0
C 0 0 0 1 1 1 2 1 1 0 0
C 0 0 0 1 1 1 2 0 0 0 0
C 0 0 1 1 1 1 2 0 0 0 0
C 0 0 0 1 1 1 3 1 1 0 0
C 0 0 0 1 1 1 3 0 0 0 0
C 0 0 1 1 1 1 3 0 0 0 0
C 0 0 0 1 1 1 4 1 1 0 0
C 0 0 0 1 1 1 4 0 0 0 0
C 0 0 1 1 1 1 4 0 0 0 0
C 0 0 0 1 1 1 5 1 1 0 0
C 0 0 0 1 1 1 5 0 0 0 0
C 0 0 1 1 1 1 5 0 0 0 0
C 0 0 0 1 1 1 6 1 1 0 0
C 0 0 0 1 1 1 6 0 0 0 0
C 0 0 1 1 1 1 6 0 0 0 0
C 0 0 0 1 1 1 7 1 1 1 0
C 0 0 0 1 1 1 7 0 0 0 0
C 0 0 1 1 1 1 7 0 0 0 0
C 0 0 0 1 1 1 0 1 1 0 0
C 0 0 0 1 1 1 0 0 0 0 0
---
# n16_sparse
H 16 0 50
C 0 1 0 1 0 0 0 0 0 0 0
C 0 0 0 1 1 1 0 1 1 0 0
C 0 0 1 1 1 1 0 0 0 0 0
C 0 0 0 1 1 1 1 1 1 0 0
C 0 0 0 1 1 1 1 0 0 0 0
C 0 0 1 1 1 1 1 0 0 0 0
C 0 0 0 1 1 1 2 1 1 0 0
C 0 0 0 1 1 1 2 0 0 0 0
C 0 0 1 1 1 1 2 0 0 0 0
C 0 0 0 1 1 1 3 1 1 0 0
C 0 0 0 1 1 1 3 0 0 0 0
C 0 0 1 1 1 1 3 0 0 0 0
C 0 0 0 1 1 1 4 1 1 0 0
C 0 0 0 1 1 1 4 0 0 0 0
C 0 0 1 1 1 1 4 0 0 0 0
C 0 0 0 1 1 1 5 1 1 0 0
C 0 0 0 1 1 1 5 0 0 0 0
C 0 0 1 1 1 1 5 0 0 0 0
C 0 0 0 1 1 1 6 1 1 0 0
C 0 0 0 1 1 1 6 0 0 0 0
C 0 0 1 1 1 1 6 0 0 0 0
C 0 0 0 1 1 1 7 1 1 0 0
C 0 0 0 1 1 1 7 0 0 0 0
C 0 0 1 1 1 1 7 0 0 0 0
C 0 0 0 1 1 1 8 1 1 0 0
C 0 0 0 1 1 1 8 0 0 0 0
C 0 0 1 1 1 1 8 0 0 0 0
C 0 0 0 1 1 1 9 1 1 0 0
C 0 0 0 1 1 1 9 0 0 0 0
C 0 0 1 1 1 1 9 0 0 0 0
C 0 0 0 1 1 1 10 1 1 0 0
C 0 0 0 1 1 1 10 0 0 0 0
C 0 0 1 1 1 1 10 0 0 0 0
C 0 0 0 1 1 1 11 1 1 0 0
C 0 0 0 1 1 1 11 0 0 0 0
C 0 0 1 1 1 1 11 0 0 0 0
C 0 0 0 1 1 1 12 1 1 0 0
C 0 0 0 1 1 1 12 0 0 0 0
C 0 0 1 1 1 1 12 0 0 0 0
C 0 0 0 1 1 1 13 1 1 0 0
C 0 0 0 1 1 1 13 0 0 0 0
C 0 0 1 1 1 1 13 0 0 0 0
C 0 0 0 1 1 1 14 1 1 0 0
C 0 0 0 1 1 1 14 0 0 0 0
C 0 0 1 1 1 1 14 0 0 0 0
C 0 0 0 1 1 1 15 1 1 1 0
C 0 0 0 1 1 1 15 0 0 0 0
C 0 0 1 1 1 1 15 0 0 0 0
C 0 0 0 1 1 1 0 1 1 0 0
C 0 0 0 1 1 1 0 0 0 0 0
---
# n17_sparse
H 17 0 53
C 0 1 0 1 0 0 0 0 0 0 0
C 0 0 0 1 1 1 0 1 1 0 0
C 0 0 1 1 1 1 0 0 0 0 0
C 0 0 0 1 1 1 1 1 1 0 0
C 0 0 0 1 1 1 1 0 0 0 0
C 0 0 1 1 1 1 1 0 0 0 0
C 0 0 0 1 1 1 2 1 1 0 0
C 0 0 0 1 1 1 2 0 0 0 0
C 0 0 1 1 1 1 2 0 0 0 0
C 0 0 0 1 1 1 3 1 1 0 0
C 0 0 0 1 1 1 3 0 0 0 0
C 0 0 1 1 1 1 3 0 0 0 0
C 0 0 0 1 1 1 4 1 1 0 0
C 0 0 0 1 1 1 4 0 0 0 0
C 0 0 1 1 1 1 4 0 0 0 0
C 0 0 0 1 1 1 5 1 1 0 0
C 0 0 0 1 1 1 5 0 0 0 0
C 0 0 1 1 1 1 5 0 0 0 0
C 0 0 0 1 1 1 6 1 1 0 0
C 0 0 0 1 1 1 6 0 0 0 0
C 0 0 1 1 1 1 6 0 0 0 0
C 0 0 0 1 1 1 7 1 1 0 0
C 0 0 0 1 1 1 7 0 0 0 0
C 0 0 1 1 1 1 7 0 0 0 0
C 0 0 0 1 1 1 8 1 1 0 0
C 0 0 0 1 1 1 8 0 0 0 0
C 0 0 1 1 1 1 8 0 0 0 0
C 0 0 0 1 1 1 9 1 1 0 0
C 0 0 0 1 1 1 9 0 0 0 0
C 0 0 1 1 1 1 9 0 0 0 0
C 0 0 0 1 1 1 10 1 1 0 0
C 0 0 0 1 1 1 10 0 0 0 0
C 0 0 1 1 1 1 10 0 0 0 0
C 0 0 0 1 1 1 11 1 1 0 0
C 0 0 0 1 1 1 11 0 0 0 0
