# The BUSY window: F7, F8, F9, and what remains legal
#
# Generated by validation/gen_wb_vectors.py from
# validation/bcmc_periph.py. Do not edit: regenerate.
#
# Geometry: MAX_C = 64, VAL_W = 16, IDX_W = 16
#
# op adr sel data     exp rdata
Z

L A large instance, so that the transform is long enough to catch
W  014 F 00000040 ACK 00000000
W  018 F 00000040 ACK 00000000
W  400 F 00000001 ACK 00000000
W  404 F 00000002 ACK 00000000
W  408 F 00000003 ACK 00000000
W  40C F 00000004 ACK 00000000
W  410 F 00000005 ACK 00000000
W  414 F 00000001 ACK 00000000
W  418 F 00000002 ACK 00000000
W  41C F 00000003 ACK 00000000
W  420 F 00000004 ACK 00000000
W  424 F 00000005 ACK 00000000
W  428 F 00000001 ACK 00000000
W  42C F 00000002 ACK 00000000
W  430 F 00000003 ACK 00000000
W  434 F 00000004 ACK 00000000
W  438 F 00000005 ACK 00000000
W  43C F 00000001 ACK 00000000
W  440 F 00000002 ACK 00000000
W  444 F 00000003 ACK 00000000
W  448 F 00000004 ACK 00000000
W  44C F 00000005 ACK 00000000
W  450 F 00000001 ACK 00000000
W  454 F 00000002 ACK 00000000
W  458 F 00000003 ACK 00000000
W  45C F 00000004 ACK 00000000
W  460 F 00000005 ACK 00000000
W  464 F 00000001 ACK 00000000
W  468 F 00000002 ACK 00000000
W  46C F 00000003 ACK 00000000
W  470 F 00000004 ACK 00000000
W  474 F 00000005 ACK 00000000
W  478 F 00000001 ACK 00000000
W  47C F 00000002 ACK 00000000
W  480 F 00000003 ACK 00000000
W  484 F 00000004 ACK 00000000
W  488 F 00000005 ACK 00000000
W  48C F 00000001 ACK 00000000
W  490 F 00000002 ACK 00000000
W  494 F 00000003 ACK 00000000
W  498 F 00000004 ACK 00000000
W  49C F 00000005 ACK 00000000
W  4A0 F 00000001 ACK 00000000
W  4A4 F 00000002 ACK 00000000
W  4A8 F 00000003 ACK 00000000
W  4AC F 00000004 ACK 00000000
W  4B0 F 00000005 ACK 00000000
W  4B4 F 00000001 ACK 00000000
W  4B8 F 00000002 ACK 00000000
W  4BC F 00000003 ACK 00000000
W  4C0 F 00000004 ACK 00000000
W  4C4 F 00000005 ACK 00000000
W  4C8 F 00000001 ACK 00000000
W  4CC F 00000002 ACK 00000000
W  4D0 F 00000003 ACK 00000000
W  4D4 F 00000004 ACK 00000000
W  4D8 F 00000005 ACK 00000000
W  4DC F 00000001 ACK 00000000
W  4E0 F 00000002 ACK 00000000
W  4E4 F 00000003 ACK 00000000
W  4E8 F 00000004 ACK 00000000
W  4EC F 00000005 ACK 00000000
W  4F0 F 00000001 ACK 00000000
W  4F4 F 00000002 ACK 00000000
W  4F8 F 00000003 ACK 00000000
W  4FC F 00000004 ACK 00000000
W  01C F 00000000 ACK 00000000
W  020 F 00000000 ACK 00000000

L F7, F8, F9 -- what may not be done while BUSY, and what may
W  00C F 00000001 ACK 00000000
R  010 F 00000000 ACK 00000001
W  014 F 00000001 ERR 00000000
W  018 F 00000001 ERR 00000000
W  400 F 00000001 ERR 00000000
W  00C F 00000001 ERR 00000000
R  024 F 00000000 ERR 00000000
R  028 F 00000000 ERR 00000000
R  800 F 00000000 ERR 00000000
R  000 F 00000000 ACK 42434D43
R  400 F 00000000 ACK 00000001
W  01C F 00000003 ACK 00000000
W  020 F 00000005 ACK 00000000
W  00C F 00000000 ACK 00000000
R  010 F 00000000 ACK 00000001

L ... and then it finishes
P  010 F 00000002 ACK 00000002
R  010 F 00000000 ACK 00000006
R  800 F 00000000 ACK 00000000
R  81C F 00000000 ACK 00000012
R  838 F 00000000 ACK 00000028
R  854 F 00000000 ACK 0000003D
R  870 F 00000000 ACK 00000011
R  88C F 00000000 ACK 00000029
R  8A8 F 00000000 ACK 0000003B
R  8C4 F 00000000 ACK 00000011
R  8E0 F 00000000 ACK 00000026
R  8FC F 00000000 ACK 0000003A
W  020 F 00000000 ACK 00000000
R  028 F 00000000 ACK 00400001
R  02C F 00000000 ACK 00000800
W  020 F 00000005 ACK 00000000
R  028 F 00000000 ACK 00800004
R  02C F 00000000 ACK 00001000
W  020 F 0000000A ACK 00000000
R  028 F 00000000 ACK 01000010
R  02C F 00000000 ACK 00008000
W  020 F 0000000F ACK 00000000
R  028 F 00000000 ACK 08000020
R  02C F 00000000 ACK 00010000
W  020 F 00000014 ACK 00000000
R  028 F 00000000 ACK 10000080
R  02C F 00000000 ACK 00020000
W  020 F 00000019 ACK 00000000
R  028 F 00000000 ACK 20000200
R  02C F 00000000 ACK 00100000
W  020 F 0000001E ACK 00000000
R  028 F 00000000 ACK 00000400
R  02C F 00000000 ACK 00200001
W  020 F 00000023 ACK 00000000
R  028 F 00000000 ACK 00001000
R  02C F 00000000 ACK 00400002
W  020 F 00000028 ACK 00000000
R  028 F 00000000 ACK 00004000
R  02C F 00000000 ACK 02000004
W  020 F 0000002D ACK 00000000
R  028 F 00000000 ACK 00008000
R  02C F 00000000 ACK 04000020
W  020 F 00000032 ACK 00000000
R  028 F 00000000 ACK 00020000
R  02C F 00000000 ACK 08000040
W  020 F 00000037 ACK 00000000
R  028 F 00000000 ACK 00080000
R  02C F 00000000 ACK 40000080
W  020 F 0000003C ACK 00000000
R  028 F 00000000 ACK 00100000
R  02C F 00000000 ACK 80000400
