# Random instances, read back by cell and by column
#
# Generated by validation/gen_wb_vectors.py from
# validation/bcmc_periph.py. Do not edit: regenerate.
#
# Geometry: MAX_C = 64, VAL_W = 16, IDX_W = 16
#
# op adr sel data     exp rdata
Z

L N = 1, C = 1, weights 0
W  014 F 00000001 ACK 00000000
W  018 F 00000001 ACK 00000000
W  400 F 00000000 ACK 00000000
W  00C F 00000001 ACK 00000000
P  010 F 00000002 ACK 00000002
R  800 F 00000000 ACK 00000000
W  020 F 00000000 ACK 00000000
R  028 F 00000000 ACK 00000000
W  01C F 00000000 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000000

L N = 1, C = 1, weights 1
W  014 F 00000001 ACK 00000000
W  018 F 00000001 ACK 00000000
W  400 F 00000001 ACK 00000000
W  00C F 00000001 ACK 00000000
P  010 F 00000002 ACK 00000002
R  800 F 00000000 ACK 00000000
W  020 F 00000000 ACK 00000000
R  028 F 00000000 ACK 00000001
W  01C F 00000000 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000001

L N = 2, C = 2, weights 2 0
W  014 F 00000002 ACK 00000000
W  018 F 00000002 ACK 00000000
W  400 F 00000002 ACK 00000000
W  404 F 00000000 ACK 00000000
W  00C F 00000001 ACK 00000000
P  010 F 00000002 ACK 00000002
R  800 F 00000000 ACK 00000000
R  804 F 00000000 ACK 00000000
W  020 F 00000000 ACK 00000000
R  028 F 00000000 ACK 00000001
W  020 F 00000001 ACK 00000000
R  028 F 00000000 ACK 00000001
W  01C F 00000000 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000001
W  01C F 00000001 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000000

L N = 5, C = 3, weights 5 5 5
W  014 F 00000005 ACK 00000000
W  018 F 00000003 ACK 00000000
W  400 F 00000005 ACK 00000000
W  404 F 00000005 ACK 00000000
W  408 F 00000005 ACK 00000000
W  00C F 00000001 ACK 00000000
P  010 F 00000002 ACK 00000002
R  800 F 00000000 ACK 00000000
R  804 F 00000000 ACK 00000000
R  808 F 00000000 ACK 00000000
W  020 F 00000000 ACK 00000000
R  028 F 00000000 ACK 00000007
W  020 F 00000001 ACK 00000000
R  028 F 00000000 ACK 00000007
