# S1 to S8 and F1 to F11 of docs/Transaction_Sequences.md
#
# Generated by validation/gen_wb_vectors.py from
# validation/bcmc_periph.py. Do not edit: regenerate.
#
# Geometry: MAX_C = 64, VAL_W = 16, IDX_W = 16
#
# op adr sel data     exp rdata
Z

L S1 Probe
R  000 F 00000000 ACK 42434D43
R  004 F 00000000 ACK 00000400
R  008 F 00000000 ACK 10100040
R  010 F 00000000 ACK 00000000

L F10, F11 -- the matrix does not exist yet
R  024 F 00000000 ERR 00000000
R  028 F 00000000 ERR 00000000
R  800 F 00000000 ERR 00000000

L F1 unmapped, F2 index >= MAX_C, E1 unaligned
R  048 F 00000000 ERR 00000000
R  500 F 00000000 ERR 00000000
R  900 F 00000000 ERR 00000000
R  016 F 00000000 ERR 00000000
R  3FC F 00000000 ERR 00000000

L F3, F4 -- writing what may only be read
W  000 F DEADBEEF ERR 00000000
W  004 F 00000000 ERR 00000000
W  008 F 00000000 ERR 00000000
W  024 F 00000001 ERR 00000000
W  028 F FFFFFFFF ERR 00000000
W  800 F 00000007 ERR 00000000

L F6 -- sel is not a whole word
R  014 3 00000000 ERR 00000000
R  000 1 00000000 ERR 00000000
W  014 E 00000008 ERR 00000000
W  00C 1 00000001 ERR 00000000

L F5 -- reading CTRL is NOT an error; START reads back 0
W  00C F 00000002 ACK 00000000
R  00C F 00000000 ACK 00000002
W  00C F 00000000 ACK 00000000
R  00C F 00000000 ACK 00000000

L S2 Load N=8, weights 6 3 5, poll for VALID
W  014 F 00000008 ACK 00000000
W  018 F 00000003 ACK 00000000
W  400 F 00000006 ACK 00000000
W  404 F 00000003 ACK 00000000
W  408 F 00000005 ACK 00000000
W  00C F 00000001 ACK 00000000
P  010 F 00000002 ACK 00000002
R  010 F 00000000 ACK 00000006

L S6 Read the offsets back
R  800 F 00000000 ACK 00000000
R  804 F 00000000 ACK 00000006
R  808 F 00000000 ACK 00000001
R  80C F 00000000 ACK 00000000

L E1 unaligned inside a mapped window
R  02A F 00000000 ERR 00000000
R  402 F 00000000 ERR 00000000
R  802 F 00000000 ERR 00000000
W  402 F 00000001 ERR 00000000
R  400 F 00000000 ACK 00000006
R  010 F 00000000 ACK 00000006

L S4 Read every cell of the 3 x 8 matrix, one at a time
W  01C F 00000000 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000002 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000003 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000004 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000005 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000006 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000007 ACK 00000000
R  024 F 00000000 ACK 00000000
W  01C F 00000001 ACK 00000000
W  020 F 00000000 ACK 00000000
R  024 F 00000000 ACK 00000001
W  020 F 00000001 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000002 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000003 ACK 00000000
R  024 F 00000000 ACK 00000000
W  020 F 00000004 ACK 00000000
